Year,Month,Product,Sub-product,Count
2011,12,Credit card or prepaid card,(Blank),1228
2011,12,Mortgage,Conventional adjustable mortgage (ARM),207
2011,12,Mortgage,Conventional fixed mortgage,468
2011,12,Mortgage,FHA mortgage,117
2011,12,Mortgage,Home equity loan or line of credit,58
2011,12,Mortgage,Other mortgage,380
2011,12,Mortgage,Reverse mortgage,7
2011,12,Mortgage,Second mortgage,1
2011,12,Mortgage,VA mortgage,19
2012,1,Credit card or prepaid card,(Blank),1151
2012,1,Mortgage,Conventional adjustable mortgage (ARM),324
2012,1,Mortgage,Conventional fixed mortgage,794
2012,1,Mortgage,FHA mortgage,168
2012,1,Mortgage,Home equity loan or line of credit,111
2012,1,Mortgage,Other mortgage,581
2012,1,Mortgage,Reverse mortgage,14
2012,1,Mortgage,Second mortgage,10
2012,1,Mortgage,VA mortgage,36
2012,2,Credit card or prepaid card,(Blank),1199
2012,2,Mortgage,Conventional adjustable mortgage (ARM),277
2012,2,Mortgage,Conventional fixed mortgage,749
2012,2,Mortgage,FHA mortgage,169
2012,2,Mortgage,Home equity loan or line of credit,110
2012,2,Mortgage,Other mortgage,926
2012,2,Mortgage,Reverse mortgage,15
2012,2,Mortgage,Second mortgage,10
2012,2,Mortgage,VA mortgage,24
2012,3,Bank account or service,CD (Certificate of Deposit),82
2012,3,Bank account or service,Cashing a check without an account,10
2012,3,Bank account or service,Checking account,903
2012,3,Bank account or service,Other banking product or service,86
2012,3,Bank account or service,Savings account,89
2012,3,Consumer Loan,Installment loan,13
2012,3,Consumer Loan,Personal line of credit,33
2012,3,Consumer Loan,Vehicle lease,6
2012,3,Consumer Loan,Vehicle loan,86
2012,3,Credit card or prepaid card,(Blank),1359
2012,3,Mortgage,Conventional adjustable mortgage (ARM),301
2012,3,Mortgage,Conventional fixed mortgage,804
2012,3,Mortgage,FHA mortgage,147
2012,3,Mortgage,Home equity loan or line of credit,144
2012,3,Mortgage,Other mortgage,1500
2012,3,Mortgage,Reverse mortgage,10
2012,3,Mortgage,Second mortgage,28
2012,3,Mortgage,VA mortgage,32
2012,3,Student loan,Non-federal student loan,517
2012,4,Bank account or service,CD (Certificate of Deposit),102
2012,4,Bank account or service,Cashing a check without an account,13
2012,4,Bank account or service,Checking account,981
2012,4,Bank account or service,Other banking product or service,76
2012,4,Bank account or service,Savings account,69
2012,4,Consumer Loan,Installment loan,14
2012,4,Consumer Loan,Personal line of credit,35
2012,4,Consumer Loan,Vehicle lease,9
2012,4,Consumer Loan,Vehicle loan,109
2012,4,Credit card or prepaid card,(Blank),1142
2012,4,Mortgage,Conventional adjustable mortgage (ARM),251
2012,4,Mortgage,Conventional fixed mortgage,720
2012,4,Mortgage,FHA mortgage,175
2012,4,Mortgage,Home equity loan or line of credit,117
2012,4,Mortgage,Other mortgage,1493
2012,4,Mortgage,Reverse mortgage,13
2012,4,Mortgage,Second mortgage,16
2012,4,Mortgage,VA mortgage,36
2012,4,Student loan,Non-federal student loan,244
2012,5,Bank account or service,CD (Certificate of Deposit),111
2012,5,Bank account or service,Cashing a check without an account,7
2012,5,Bank account or service,Checking account,1306
2012,5,Bank account or service,Other banking product or service,89
2012,5,Bank account or service,Savings account,123
2012,5,Consumer Loan,Installment loan,19
2012,5,Consumer Loan,Personal line of credit,53
2012,5,Consumer Loan,Vehicle lease,23
2012,5,Consumer Loan,Vehicle loan,160
2012,5,Credit card or prepaid card,(Blank),1374
2012,5,Mortgage,Conventional adjustable mortgage (ARM),301
2012,5,Mortgage,Conventional fixed mortgage,784
2012,5,Mortgage,FHA mortgage,206
2012,5,Mortgage,Home equity loan or line of credit,141
2012,5,Mortgage,Other mortgage,2467
2012,5,Mortgage,Reverse mortgage,19
